geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1037,-23.54562128115268,-46.63929204800168,sao paulo,SP
1046,-23.54608112703553,-46.64482029837157,sao paulo,SP
1046,-23.54612896641469,-46.64295148361138,sao paulo,SP
1041,-23.5443921648681,-46.63949930627844,sao paulo,SP
1035,-23.541577961711493,-46.64160722329613,sao paulo,SP
1012,-23.547762303364262,-46.63536053788448,são paulo,SP
1047,-23.54627311241268,-46.64122516971552,sao paulo,SP
1013,-23.546923208436723,-46.6342636964915,sao paulo,SP
1029,-23.543769055769133,-46.63427784085132,sao paulo,SP
1011,-23.547639550320632,-46.63603162315495,sao paulo,SP
1013,-23.547325128224376,-46.63418378613892,sao paulo,SP
1032,-23.53841810407414,-46.634778375266734,sao paulo,SP
1014,-23.546435343326205,-46.63383023397196,sao paulo,SP
1012,-23.548945985189437,-46.63467113292871,sao paulo,SP
1037,-23.54518734081604,-46.63785524104107,são paulo,SP
1046,-23.54608112703553,-46.64482029837157,sao paulo,SP
1039,-23.54188300998332,-46.63991946670314,sao paulo,SP
1024,-23.541389521053937,-46.62989908781218,são paulo,SP
1009,-23.54693540437998,-46.63658792659698,sao paulo,SP
1046,-23.54588427921401,-46.64316319124004,sao paulo,SP
1046,-23.545165891770928,-46.643785796266464,sao paulo,SP
1020,-23.55223547100232,-46.6284406588955,são paulo,SP
1011,-23.546690486964888,-46.6354469588072,são paulo,SP
1043,-23.546656718016017,-46.64078762115524,são paulo,SP
1050,-23.549773516504185,-46.64559900666509,sao paulo,SP
